082	0	0	0;0;0;0;0;0;0;3;0;0	0	0	2.57224194660756	rnoCirc_010530	
chr12	69811274	69818498	-	mmuCirc_002076	Map4k5	CTO:ALT_ACCEPTOR:CDS	6	618	NM_201519	0	0	0	0	0	0.0982533341040761	0	0.0329821949908028	0.0795551751934235	0	0;0;0;0;0;3;0;1;2;0	0	0	2.09493762769934		
chr12	69823422	69825783	-	mmuCirc_002077	Map4k5	CTO:ANNOTATED:CDS	3	207	NM_201519	0.0179914506425692	0.0341334195498	0	0.0576882395620293	0.0364535526967181	0.229257779576178	0.205007057221511	0.230875364935619	0.596663813950676	0.143361550231522	1;2;0;3;2;7;7;7;15;5	0	0	2.58796356061877		
chr12	69830429	69838073	-	mmuCirc_002078	Map4k5	CTO:ANNOTATED:CDS	3	206	NM_201519	0	0	0	0	0	0.0327511113680254	0	0.0989465849724082	0.278443113176982	0.114689240185217	0;0;0;0;0;1;0;3;7;4	0	0	2.65559754803955		
chr12	70020834	70025481	-	mmuCirc_002079	Nin	CTO:ANNOTATED:CDS	3	361	NM_001081453:NR_104398:NM_001286079:NM_001286080:NM_008697:NR_104397	0	0	0	0	0	0.294760002312228	0	0.131928779963211	0.198887937983559	0.143361550231522	0;0;0;0;0;9;0;4;5;5	0	0	3.34590517689707		
chr12	70078112	70083857	-	mmuCirc_002080	Nin	CTO:ALT_ACCEPTOR:CDS	1	5746	NM_001081453:NR_104398:NM_001286079:NM_001286080:NM_008697:NR_104397	0	0	0	0	0	0	0	0	0.159110350386847	0	0;0;0;0;0;0;0;0;4;0	0	0	3.16277680474228		
chr12	71019374	71023590	+	mmuCirc_002081	Arid4a	CTO:ANNOTATED:CDS	3	268	NM_001081195	0	0	0	0	0	0.0655022227360508	0	0.0989465849724082	0.159110350386847	0.086016930138913	0;0;0;0;0;2;0;3;4;3	0	0	2.55930086063543	rnoCirc_010536	
chr12	71022193	71023590	+	mmuCirc_002082	Arid4a	CTO:ANNOTATED:CDS	2	157	NM_001081195	0.0359829012851383	0.0682668390996	0.0370238421510704	0	0	0	0.117146889840864	0.0659643899816055	0.0795551751934235	0	2;4;2;0;0;0;4;2;2;0	0	0	0.514615608721255		
chr12	71045024	71046190	+	mmuCirc_002083	Arid4a	CTO:ANNOTATED:CDS	2	157	NM_001081195	0	0	0.0185119210755352	0	0	0.0327511113680254	0.0292867224602159	0.0989465849724082	0.159110350386847	0	0;0;1;0;0;1;1;3;4;0	0	0	1.87252854895875		
chr12	71046114	71047360	+	mmuCirc_002084	Arid4a	CTO:ANNOTATED:CDS	2	244	NM_001081195	0	0	0	0	0	0.0655022227360508	0	0	0.119332762790135	0.0286723100463043	0;0;0;0;0;2;0;0;3;1	0	0	2.05984193410366		
chr12	71060062	71063324	+	mmuCirc_002085	Arid4a	CTO:ANNOTATED:CDS	4	498	NM_001081195	0	0	0	0	0	0.0655022227360508	0.0585734449204318	0.131928779963211	0.23866552558027	0.086016930138913	0;0;0;0;0;2;2;4;6;3	0	0	2.61891313379866		
chr12	71074936	71076069	+	mmuCirc_002086	Arid4a	CTO:ANNOTATED:CDS	1	1134	NM_001081195	0.0179914506425692	0	0.0370238421510704	0	0	0.163755556840127	0.0292867224602159	0.0989465849724082	0	0.0573446200926087	1;0;2;0;0;5;1;3;0;2	0	0	1.64680446545215		
chr12	71167066	71173239	+	mmuCirc_002087	2700049A03Rik	CTO:ANNOTATED:CDS	3	494	NM_001163378:NM_029818	0	0	0	0	0	0	0.0878601673806477	0.0329821949908028	0	0	0;0;0;0;0;0;3;1;0;0	0	0	1.91829894339665		
chr12	71184423	71195946	+	mmuCirc_002088	2700049A03Rik	CTO:ALT_DONOR:CDS	7	2674	NM_001163378:NM_029818	0.0179914506425692	0.0170667097749	0	0	0	0.0327511113680254	0	0.0989465849724082	0.198887937983559	0	1;1;0;0;0;1;0;3;5;0	0	0	1.40194128153166		
chr12	71895727	71915788	+	mmuCirc_002089	Daam1	CTO:ANNOTATED:CDS:5UTR	2	310	NM_026102:NM_172464:NM_001286452	0	0	0	0	0.018226776348359	0.0327511113680254	0.0585734449204318	0.296839754917225	0.23866552558027	0.114689240185217	0;0;0;0;1;1;2;9;6;4	0	0	2.57378396049261	rnoCirc_010553	hsaCirc_004941
chr12	71951199	71951300	-	mmuCirc_002090	Daam1	AS:CTO	1	102	NM_026102:NM_172464:NM_001286452	0	0.0170667097749	0.0185119210755352	0	0.018226776348359	0	0	0.0329821949908028	0	0.086016930138913	0;1;1;0;1;0;0;1;0;3	0	0	0.347239228827808		
chr12	73168000	73219142	+	mmuCirc_002091	Mnat1	CTO:ANNOTATED:CDS	6	720	NM_008612	0	0.0341334195498	0.0370238421510704	0.0769176527493725	0.018226776348359	0.229257779576178	0.0878601673806477	0.263857559926422	0.397775875967117	0.114689240185217	0;2;2;4;1;7;3;8;10;4	0	0	2.17490887234892		hsaCirc_004948
chr12	73179205	73219142	+	mmuCirc_002092	Mnat1	CTO:ANNOTATED:CDS	4	493	NM_008612	0.0359829012851383	0	0.0185119210755352	0.0769176527493725	0.0546803290450771	0.294760002312228	0.263580502141943	0.494732924862041	0.795551751934235	0.258050790416739	2;0;1;4;3;9;9;15;20;9	0	1	3.00536417588199	rnoCirc_010557	hsaCirc_004949
chr12	73181784	73219142	+	mmuCirc_002093	Mnat1	CTO:ANNOTATED:CDS	3	389	NM_008612	0	0.0170667097749	0	0	0	0	0.0878601673806477	0.0989465849724082	0.0397775875967117	0	0;1;0;0;0;0;3;3;1;0	0	0	1.89760427851267		hsaCirc_004950
chr12	73691548	73702912	+	mmuCirc_002094	Prkch	CTO:ANNOTATED:CDS	7	851	NM_008856	0.0179914506425692	0	0	0.0384588263746862	0.018226776348359	0.262008890944203	0.0292867224602159	0.164910974954014	0.437553463563829	0.286723100463044	1;0;0;2;1;8;1;5;11;10	0	0	2.67493617428354	rnoCirc_010566	hsaCirc_004951
chr12	73926557	73928298	+	mmuCirc_002095	Hif1a	CTO:ANNOTATED:CDS	3	422	NM_010431	0.0179914506425692	0	0.0185119210755352	0.0192294131873431	0.018226776348359	0.196506668208152	0.175720334761295	0.164910974954014	0.278443113176982	0.229378480370435	1;0;1;1;1;6;6;5;7;8	0	0	2.73959403886516	rnoCirc_010568	hsaCirc_004953
chr12	73926557	73930769	+	mmuCirc_002096	Hif1a	CTO:ANNOTATED:CDS	4	535	NM_010431	0	0	0	0	0	0.0982533341040761	0	0	0.0795551751934235	0.0286723100463043	0;0;0;0;0;3;0;0;2;1	0	0	2.05413550575117		
chr12	73926557	73932476	+	mmuCirc_002097	Hif1a	CTO:ANNOTATED:CDS	5	738	NM_010431	0	0	0	0	0.018226776348359	0.131004445472102	0.0292867224602159	0.0329821949908028	0.159110350386847	0.0573446200926087	0;0;0;0;1;4;1;1;4;2	0	0	1.96054399662891	rnoCirc_010569	hsaCirc_004954
chr12	73930657	73932476	+	mmuCirc_002098	Hif1a	CTO:ANNOTATED:CDS	2	316	NM_010431	0	0	0.0370238421510704	0	0	0	0	0.0659643899816055	0	0.114689240185217	0;0;2;0;0;0;0;2;0;4	0	0	1.67186830490166		hsaCirc_004956
